"","a1","a1a1","a2","a2a2","a3","a3a3","a4a4","a5a5","a6a6","a7a7","a8a8","a9a9","b1b1","b2","b3","b4","b5","b5a1","b5b2","b5b5","cluster"
"1115",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1116",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18
"1118",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1119",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"112",8,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,22,0,0,0,3
"1121",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1123",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1124",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1125",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1126",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1127",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7
"1128",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1129",0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"113",6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,6,15
"1131",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1132",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1133",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1134",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1135",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7
"1136",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1137",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1138",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"114",7,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,15,0,0,5,15
"1141",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1144",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1145",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1146",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1147",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1148",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1149",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"115",5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,20,0,0,0,3
"1150",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1151",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1153",0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1154",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1155",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1156",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1157",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1159",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"116",6,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,31,0,0,0,3
"1161",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1162",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1163",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1164",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1165",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1166",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1167",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1168",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1169",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"117",10,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,33,0,0,0,3
"1170",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1171",0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"1172",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,18
"1174",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1175",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1177",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1178",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1179",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11
"118",10,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,12,0,6,11,13
"1180",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1181",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1182",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1183",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1184",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1185",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"1187",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1188",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1189",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
