"","addPerson ","deletePerson ","editPerson ","searchPerson ","cluster"
"a1355",97,61,45,70,1
"a1357",143,75,114,156,2
"a136",86,57,46,82,1
"a1364",75,37,65,82,1
"a1365",72,38,65,90,1
"a1366",77,36,58,62,1
"a137",84,53,62,90,1
"a1370",166,104,105,156,2
"a1371",76,29,86,82,1
"a1372",60,38,61,78,1
"a1373",46,34,54,62,1
"a1374",84,57,38,70,1
"a1375",161,105,94,140,2
"a1376",172,118,110,140,2
"a1377",91,55,46,86,1
"a1378",101,80,50,62,1
"a1379",90,44,63,86,1
"a1385",68,39,57,70,1
"a1386",66,46,28,39,1
"a1391",63,32,48,72,1
"a1393",68,30,78,82,1
"a1396",76,43,60,74,1
"a1398",82,57,38,70,1
"a1399",196,131,105,136,2
"a14",75,32,50,66,1
"a140",69,49,51,86,1
"a1400",50,26,55,62,1
"a1401",56,32,78,90,1
"a1404",81,61,39,72,1
"a1407",69,38,53,86,1
"a1409",69,44,64,70,1
"a1411",369,231,207,304,3
"a1412",73,42,68,66,1
"a1413",180,105,93,136,2
"a1416",68,41,53,70,1
"a1417",88,62,45,66,1
"a1420",77,54,35,66,1
"a1421",60,27,63,66,1
"a1423",187,119,95,156,2
"a1424",212,138,96,132,2
"a1428",96,68,40,82,1
"a1429",251,134,165,194,2
"a1433",19,7,4,13,1
"a1436",105,64,37,54,1
"a1438",60,35,46,78,1
"a1439",91,64,49,78,1
"a1442",84,65,60,102,1
"a1445",89,57,42,70,1
"a1446",89,67,56,78,1
"a1447",95,36,81,86,1
"a1448",73,50,47,70,1
"a1449",155,90,115,148,2
"a1453",100,62,52,78,1
"a1457",79,30,55,74,1
"a1458",81,49,51,86,1
"a1460",65,38,57,90,1
"a1461",9,0,15,7,1
"a1464",88,50,56,58,1
"a1469",75,39,73,70,1
"a147",138,77,102,148,2
"a1470",184,122,121,160,2
"a1471",73,40,56,74,1
"a1474",83,49,40,50,1
"a1475",186,124,117,184,2
"a1477",89,60,57,70,1
"a1478",269,190,114,242,2
"a148",151,102,110,168,2
"a1485",85,60,46,66,1
"a1487",94,63,49,78,1
"a149",90,58,50,74,1
"a1490",78,51,55,78,1
"a1491",95,68,48,62,1
"a1494",62,45,40,90,1
"a1495",67,30,66,74,1
"a1496",158,97,114,144,2
"a150",82,38,69,78,1
"a1500",107,71,40,78,1
"a1501",167,96,122,172,2
"a1502",44,23,37,41,1
"a1509",77,50,43,86,1
"a152",171,112,96,148,2
"a154",172,112,119,160,2
"a155",184,120,91,136,2
"a156",73,49,47,62,1
"a158",80,59,69,74,1
"a159",96,69,40,90,1
"a160",65,52,62,98,1
"a162",82,46,52,58,1
"a163",79,51,39,62,1
"a17",150,117,115,168,2
"a170",171,130,85,160,2
"a172",84,64,34,56,1
"a181",120,81,37,74,1
"a187",75,50,63,70,1
