"","r","s","cluster"
"1124",14,0,2
"1125",10,0,2
"1126",24,0,2
"1127",20,0,2
"1128",24,0,2
"1129",26,0,2
"113",6,61,1
"1130",10,0,2
"1131",22,0,2
"1132",14,0,2
"1133",18,0,2
"1134",18,0,2
"1135",18,0,2
"1136",24,0,2
"1137",14,0,2
"1138",22,0,2
"1139",8,0,2
"114",9,74,1
"1140",6,0,2
"1141",16,0,2
"1142",10,0,2
"1143",14,0,2
"1144",16,0,2
"1145",20,0,2
"1146",28,0,2
"1147",16,0,2
"1148",22,0,2
"1149",24,0,2
"115",8,64,1
"1150",24,0,2
"1151",12,0,2
"1152",18,0,2
"1153",36,0,2
"1154",38,0,2
"1155",24,0,2
"1156",10,0,2
"1157",12,0,2
"1158",10,0,2
"1159",24,0,2
"116",7,84,1
"1160",10,0,2
"1161",20,0,2
"1162",14,0,2
"1163",20,0,2
"1164",20,0,2
"1165",24,0,2
"1166",26,0,2
"1167",28,0,2
"1168",20,0,2
"1169",14,0,2
"117",11,92,1
"1170",20,0,2
"1171",26,0,2
"1172",22,0,2
"1173",10,0,2
"1174",12,0,2
"1175",14,0,2
"1176",18,0,2
"1177",16,0,2
"1178",20,0,2
"1179",18,0,2
"118",11,89,1
"1180",24,0,2
"1181",28,0,2
"1182",18,0,2
"1183",30,0,2
"1184",18,0,2
"1185",12,0,2
"1186",16,0,2
"1187",22,0,2
"1188",14,0,2
"1189",16,0,2
"119",12,85,1
"1190",22,0,2
"1191",18,0,2
"1192",22,0,2
"1193",10,0,2
"1194",20,0,2
"1195",18,0,2
"1196",22,0,2
"1197",14,0,2
"1198",18,0,2
"1199",18,0,2
"12",8,73,1
"120",5,47,1
"1200",20,0,2
"1201",22,0,2
"1202",14,0,2
"1203",16,0,2
"1204",8,0,2
"1205",22,0,2
"1206",10,0,2
"1207",8,0,2
"1208",18,0,2
"1209",14,0,2
"121",6,49,1
"1210",8,0,2
"1211",12,0,2
"1212",12,0,2
"1213",14,0,2
"1214",26,0,2
"1215",18,0,2
"1216",20,0,2
"1217",26,0,2
"1218",22,0,2
"1219",22,0,2
"122",11,64,1
"1220",26,0,2
"1221",26,0,2
"1222",18,0,2
"1223",20,0,2
"1224",20,0,2
"1225",22,0,2
"1226",12,0,2
"1227",24,0,2
"1228",16,0,2
"1229",34,0,2
"123",7,77,1
"1230",28,0,2
"1231",14,0,2
"1232",20,0,2
"1233",18,0,2
"1234",26,0,2
"1235",8,0,2
"1236",16,0,2
"1237",14,0,2
"1238",20,0,2
"1239",26,0,2
"124",12,82,1
"1240",20,0,2
"1241",30,0,2
"1242",20,0,2
"1243",10,0,2
"1244",8,0,2
"1245",20,0,2
"1246",24,0,2
"1247",14,0,2
"1248",18,0,2
"1249",14,0,2
"125",9,66,1
"1250",28,0,2
"1251",18,0,2
"1252",14,0,2
"1253",22,0,2
"1254",16,0,2
"1255",28,0,2
"1256",14,0,2
"1257",22,0,2
"1258",20,0,2
"1259",16,0,2
"126",10,65,1
"1260",8,0,2
"1261",16,0,2
"1262",16,0,2
"1263",20,0,2
"1264",12,0,2
"1265",26,0,2
"1266",14,0,2
"1267",16,0,2
"1268",14,0,2
"1269",18,0,2
"127",7,108,1
"1270",18,0,2
"1271",12,0,2
"1272",32,0,2
"1273",24,0,2
"1274",34,0,2
"1275",12,0,2
"1276",12,0,2
"1277",14,0,2
"1278",22,0,2
"1279",24,0,2
"128",6,74,1
"1280",28,0,2
"1281",26,0,2
"1282",14,0,2
"1283",14,0,2
"1284",18,0,2
"1285",12,0,2
"1286",20,0,2
"1287",6,0,2
"1288",12,0,2
"1289",22,0,2
"129",7,66,1
"1290",26,0,2
"1291",24,0,2
"1292",14,0,2
"1293",18,0,2
"1294",32,0,2
"1295",20,0,2
"1296",16,0,2
"1297",22,0,2
"1298",16,0,2
"1299",20,0,2
"13",13,77,1
"130",6,72,1
"1300",14,0,2
"1301",16,0,2
"1302",16,0,2
"1303",12,0,2
"1304",22,0,2
"1305",10,0,2
"1306",16,0,2
"1307",18,0,2
"1308",28,0,2
"1309",18,0,2
"131",7,62,1
"1310",14,0,2
"1311",14,0,2
"1312",24,0,2
"1313",24,0,2
"1314",24,0,2
"1315",20,0,2
"1316",12,0,2
"1317",12,0,2
"1318",16,0,2
"1319",18,0,2
"132",12,63,1
"1320",34,0,2
"1321",10,0,2
"1322",14,0,2
"1323",18,0,2
"1324",18,0,2
"1325",10,0,2
"1326",20,0,2
"1327",24,0,2
"1328",16,0,2
"1329",22,0,2
"133",10,74,1
"1330",30,0,2
"1331",12,0,2
"1332",30,0,2
"1333",18,0,2
"1334",24,0,2
"1335",20,0,2
"1336",20,0,2
"1337",16,0,2
"1338",14,0,2
"1339",14,0,2
"134",8,67,1
"1340",20,0,2
"1341",16,0,2
"1342",12,0,2
"1343",24,0,2
"1344",26,0,2
"1345",18,0,2
"1346",20,0,2
"1347",12,0,2
"1348",12,0,2
"1349",22,0,2
"135",13,76,1
"1350",24,0,2
"1351",10,0,2
"1352",22,0,2
"1353",18,0,2
"1354",18,0,2
"1355",24,0,2
"1356",30,0,2
"1357",22,0,2
"1358",32,0,2
"1359",24,0,2
"136",13,84,1
"1360",20,0,2
"1361",22,0,2
"1362",18,0,2
"1363",12,0,2
"1364",12,0,2
"1365",16,0,2
"1366",28,0,2
"1367",22,0,2
"1368",14,0,2
"1369",22,0,2
"137",4,65,1
"1370",24,0,2
"1371",18,0,2
"1372",14,0,2
"1373",18,0,2
"1374",22,0,2
"1375",10,0,2
"1376",8,0,2
"1377",8,0,2
"1378",12,0,2
"1379",14,0,2
"138",9,83,1
"1380",18,0,2
"1381",24,0,2
"1382",8,0,2
"1383",14,0,2
"1384",22,0,2
"1385",22,0,2
"1386",20,0,2
"1387",24,0,2
"1388",12,0,2
"1389",26,0,2
"139",11,108,1
"1390",20,0,2
"1391",18,0,2
"1392",14,0,2
"1393",12,0,2
"1394",14,0,2
"1395",14,0,2
"1396",20,0,2
"1397",16,0,2
"1398",18,0,2
"1399",18,0,2
"14",12,49,1
"140",10,37,1
"1400",14,0,2
"1401",24,0,2
"1402",8,0,2
"1403",24,0,2
"1404",18,0,2
"1405",20,0,2
"1406",20,0,2
"1407",12,0,2
"1408",24,0,2
"1409",18,0,2
"141",8,60,1
"1410",18,0,2
"1411",18,0,2
"1412",18,0,2
"1413",12,0,2
"1414",20,0,2
"1415",22,0,2
"1416",10,0,2
"1417",18,0,2
"1418",12,0,2
"1419",14,0,2
"142",10,82,1
"1420",16,0,2
"1421",18,0,2
"1422",18,0,2
"1423",14,0,2
"1424",18,0,2
"1425",16,0,2
"1426",14,0,2
"1427",18,0,2
"1428",18,0,2
"1429",20,0,2
"143",4,88,1
"1430",26,0,2
"1431",12,0,2
"1432",22,0,2
"1433",16,0,2
"1434",16,0,2
"1435",18,0,2
"1436",18,0,2
"1437",18,0,2
"1438",18,0,2
"1439",24,0,2
"144",6,66,1
"1440",18,0,2
"1441",8,0,2
"1442",26,0,2
"1443",14,0,2
"1444",22,0,2
"1445",10,0,2
"1446",22,0,2
"1447",40,0,2
"1448",10,0,2
"1449",20,0,2
"145",10,78,1
"1450",16,0,2
"1451",14,0,2
"1452",20,0,2
"1453",20,0,2
"1454",20,0,2
"1455",16,0,2
"1456",22,0,2
"1457",26,0,2
"1458",12,0,2
"1459",18,0,2
"146",10,102,1
"1460",22,0,2
"1461",22,0,2
"1462",24,0,2
"1463",28,0,2
"1464",26,0,2
"1465",18,0,2
"1466",12,0,2
"1467",16,0,2
"1468",24,0,2
"1469",22,0,2
"147",13,81,1
"1470",16,0,2
"1471",20,0,2
"1472",12,0,2
"1473",22,0,2
"1474",24,0,2
"1475",22,0,2
"1476",16,0,2
"1477",18,0,2
"1478",28,0,2
"1479",22,0,2
"148",3,73,1
"1480",18,0,2
"1481",26,0,2
"1482",18,0,2
"1483",24,0,2
"1484",32,0,2
"1485",20,0,2
"1486",24,0,2
"1487",14,0,2
"1488",24,0,2
"1489",12,0,2
"149",6,100,1
"1490",30,0,2
"1491",14,0,2
"1492",16,0,2
"1493",20,0,2
"1494",24,0,2
"1495",12,0,2
"1496",14,0,2
"1497",10,0,2
"1498",28,0,2
"1499",18,0,2
"15",9,78,1
"150",14,75,1
"1500",14,0,2
"1501",20,0,2
"1502",14,0,2
"1503",18,0,2
"1504",14,0,2
"1505",36,0,2
"1506",12,0,2
"1507",16,0,2
"1508",14,0,2
"1509",20,0,2
"151",11,72,1
"1510",16,0,2
"1511",20,0,2
"1512",12,0,2
"1513",16,0,2
"1514",22,0,2
"1515",14,0,2
"1516",10,0,2
"1517",26,0,2
"1518",14,0,2
"1519",20,0,2
"152",8,77,1
"1520",20,0,2
"1521",16,0,2
"1522",26,0,2
"1523",14,0,2
"1524",8,0,2
"1525",10,0,2
"1526",28,0,2
"1527",16,0,2
"1528",20,0,2
"1529",20,0,2
"153",4,95,1
"1530",24,0,2
"1531",14,0,2
"1532",18,0,2
"1533",12,0,2
"1534",24,0,2
"1535",18,0,2
"1536",26,0,2
"1537",24,0,2
"1538",10,0,2
"1539",12,0,2
"154",15,88,1
"1540",24,0,2
"1541",20,0,2
"1542",20,0,2
"1543",16,0,2
"1544",18,0,2
"1545",22,0,2
"1546",22,0,2
"1547",16,0,2
"1548",18,0,2
"1549",12,0,2
"155",8,78,1
"1550",14,0,2
"1551",10,0,2
"1552",16,0,2
"1553",14,0,2
"1554",16,0,2
"1555",22,0,2
"1556",28,0,2
"1557",14,0,2
"1558",18,0,2
"1559",20,0,2
"156",5,76,1
"1560",26,0,2
"1561",16,0,2
"1562",20,0,2
"1563",18,0,2
"1564",20,0,2
"1565",16,0,2
"1566",22,0,2
"1567",20,0,2
"1568",14,0,2
"1569",16,0,2
"157",3,93,1
"1570",24,0,2
"1571",22,0,2
"1572",20,0,2
"1573",26,0,2
"1574",14,0,2
"1575",20,0,2
"1576",16,0,2
"1577",18,0,2
"1578",20,0,2
"1579",20,0,2
"158",6,85,1
"1580",18,0,2
"1581",20,0,2
"1582",20,0,2
"1583",14,0,2
"1584",18,0,2
"1585",12,0,2
"1586",14,0,2
"1587",20,0,2
"1588",22,0,2
"1589",22,0,2
"159",8,62,1
"1590",34,0,2
"1591",20,0,2
"1592",26,0,2
"1593",22,0,2
"1594",12,0,2
"1595",28,0,2
"1596",14,0,2
"1597",26,0,2
"1598",14,0,2
"1599",28,0,2
"16",5,69,1
"160",10,86,1
"1600",22,0,2
"1601",24,0,2
"1602",20,0,2
"1603",12,0,2
"1604",24,0,2
"1605",24,0,2
"1606",26,0,2
"1607",18,0,2
"1608",26,0,2
"1609",10,0,2
"161",10,75,1
"1610",20,0,2
"1611",24,0,2
"1612",24,0,2
"1613",24,0,2
"1614",24,0,2
"1615",14,0,2
"1616",24,0,2
"1617",18,0,2
"1618",16,0,2
"1619",28,0,2
"162",13,57,1
"1620",20,0,2
"1621",24,0,2
"1622",20,0,2
"1623",22,0,2
"1624",20,0,2
"1625",6,0,2
"1626",16,0,2
"1627",18,0,2
"1628",12,0,2
"1629",16,0,2
"163",6,90,1
"1630",12,0,2
"1631",12,0,2
"1632",18,0,2
"1633",14,0,2
"1634",6,0,2
"1635",20,0,2
"1636",20,0,2
"1637",14,0,2
"1638",10,0,2
"1639",14,0,2
"164",9,78,1
"1640",16,0,2
"1641",32,0,2
"1642",14,0,2
"1643",28,0,2
"1644",16,0,2
"1645",10,0,2
"1646",24,0,2
"1647",34,0,2
"1648",30,0,2
"1649",10,0,2
"165",10,112,1
"1650",18,0,2
"1651",18,0,2
"1652",16,0,2
"1653",18,0,2
"1654",22,0,2
"1655",10,0,2
"1656",26,0,2
"1657",20,0,2
"1658",28,0,2
"1659",22,0,2
"166",6,72,1
"1660",24,0,2
"1661",24,0,2
"1662",24,0,2
"1663",20,0,2
"1664",20,0,2
"1665",20,0,2
"1666",12,0,2
"1667",20,0,2
"1668",8,0,2
"1669",12,0,2
"167",7,87,1
"1670",14,0,2
"1671",18,0,2
"1672",12,0,2
"1673",34,0,2
"1674",10,0,2
"1675",26,0,2
"1676",22,0,2
"1677",16,0,2
"1678",16,0,2
"1679",20,0,2
"168",7,57,1
"1680",14,0,2
"1681",18,0,2
"1682",22,0,2
"1683",24,0,2
"1684",20,0,2
"1685",22,0,2
"1686",14,0,2
"1687",10,0,2
"1688",22,0,2
"1689",18,0,2
"169",6,80,1
"1690",20,0,2
"1691",28,0,2
"1692",12,0,2
"1693",22,0,2
"1694",16,0,2
"1695",14,0,2
"1696",28,0,2
"1697",20,0,2
"1698",14,0,2
"1699",14,0,2
"17",11,73,1
"170",9,66,1
"1700",16,0,2
"1701",38,0,2
"1702",12,0,2
"1703",8,0,2
"1704",8,0,2
"1705",14,0,2
"1706",12,0,2
"1707",10,0,2
"1708",16,0,2
"1709",18,0,2
"171",9,86,1
"1710",10,0,2
"1711",22,0,2
"1712",10,0,2
"1713",26,0,2
"1714",22,0,2
"1715",28,0,2
"1716",12,0,2
"1717",20,0,2
"1718",24,0,2
"1719",14,0,2
"172",5,87,1
"1720",22,0,2
"1721",16,0,2
"1722",20,0,2
"1723",16,0,2
"1724",16,0,2
"1725",18,0,2
"1726",28,0,2
"1727",24,0,2
"1728",26,0,2
"1729",10,0,2
"173",16,57,1
"1730",26,0,2
"1731",26,0,2
"1732",12,0,2
"1733",14,0,2
"1734",12,0,2
"1735",20,0,2
"1736",16,0,2
"1737",10,0,2
"1738",28,0,2
"1739",36,0,2
"174",9,65,1
"1740",24,0,2
"1741",10,0,2
"1742",18,0,2
"1743",28,0,2
"1744",16,0,2
"1745",20,0,2
"1746",20,0,2
"1747",26,0,2
"1748",16,0,2
"1749",24,0,2
"175",8,76,1
"1750",14,0,2
"1751",12,0,2
"1752",12,0,2
"1753",12,0,2
"1754",30,0,2
"1755",14,0,2
"1756",24,0,2
"1757",32,0,2
"1758",18,0,2
"1759",22,0,2
"176",10,45,1
"1760",28,0,2
"1761",24,0,2
"1762",18,0,2
"1763",14,0,2
"1764",20,0,2
"1765",28,0,2
"1766",12,0,2
"1767",28,0,2
"1768",18,0,2
"1769",18,0,2
"177",10,61,1
"1770",24,0,2
"1771",14,0,2
"1772",22,0,2
"1773",18,0,2
"1774",8,0,2
"1775",6,0,2
"1776",16,0,2
"1777",30,0,2
"1778",24,0,2
"1779",18,0,2
"178",9,98,1
"1780",26,0,2
"1781",14,0,2
"1782",24,0,2
"1783",20,0,2
"1784",30,0,2
"1785",12,0,2
"1786",26,0,2
"1787",16,0,2
"1788",12,0,2
"1789",20,0,2
"179",5,85,1
"1790",26,0,2
"1791",16,0,2
"1792",28,0,2
"1793",30,0,2
"1794",20,0,2
"1795",20,0,2
"1796",14,0,2
"1797",16,0,2
"1798",4,0,2
"1799",22,0,2
"18",9,72,1
"180",4,78,1
"1800",10,0,2
"1801",28,0,2
"1802",10,0,2
"1803",32,0,2
"1804",16,0,2
"1805",14,0,2
"1806",36,0,2
"1807",22,0,2
"1808",16,0,2
"1809",18,0,2
"181",12,55,1
"1810",10,0,2
"1811",20,0,2
"1812",18,0,2
"1813",22,0,2
"1814",20,0,2
"1815",14,0,2
"1816",10,0,2
"1817",14,0,2
"1818",8,0,2
"1819",16,0,2
"182",13,73,1
"1820",20,0,2
"1821",20,0,2
"1822",24,0,2
"1823",18,0,2
"1824",20,0,2
"1825",20,0,2
"1826",22,0,2
"1827",30,0,2
"1828",26,0,2
"1829",14,0,2
"183",3,74,1
"1830",12,0,2
"1831",16,0,2
"1832",20,0,2
"1833",30,0,2
"1834",12,0,2
"1835",12,0,2
"1836",20,0,2
"1837",20,0,2
"1838",12,0,2
"1839",18,0,2
"184",10,83,1
"1840",16,0,2
"1841",18,0,2
"1842",14,0,2
"1843",22,0,2
"1844",14,0,2
"1845",22,0,2
"1846",12,0,2
"1847",16,0,2
"1848",24,0,2
"1849",12,0,2
"185",8,69,1
"1850",22,0,2
"1851",16,0,2
"1852",14,0,2
"1853",16,0,2
"1854",20,0,2
"1855",18,0,2
"1856",14,0,2
"1857",20,0,2
"1858",16,0,2
"1859",18,0,2
"186",8,62,1
"1860",12,0,2
"1861",16,0,2
"1862",22,0,2
"1863",28,0,2
"1864",14,0,2
"1865",12,0,2
"1866",22,0,2
"1867",22,0,2
"1868",20,0,2
"1869",20,0,2
"187",6,88,1
"1870",18,0,2
"1871",28,0,2
"1872",22,0,2
"1873",20,0,2
"1874",10,0,2
"1875",16,0,2
"1876",12,0,2
"1877",22,0,2
"1878",20,0,2
"1879",20,0,2
"188",13,89,1
"1880",10,0,2
"1881",30,0,2
"1882",24,0,2
"1883",14,0,2
"1884",18,0,2
"1885",10,0,2
"1886",36,0,2
"1887",20,0,2
"1888",18,0,2
"1889",10,0,2
"189",11,67,1
"1890",16,0,2
"1891",28,0,2
"1892",18,0,2
"1893",20,0,2
"1894",22,0,2
"1895",16,0,2
"1896",18,0,2
"1897",32,0,2
"1898",18,0,2
"1899",22,0,2
"19",7,69,1
"190",12,78,1
"1900",20,0,2
"1901",26,0,2
"1902",18,0,2
"1903",28,0,2
"1904",26,0,2
"1905",20,0,2
"1906",20,0,2
"1907",16,0,2
"1908",14,0,2
"1909",12,0,2
"191",10,68,1
"1910",22,0,2
"1911",28,0,2
"1912",16,0,2
"1913",24,0,2
"1914",20,0,2
"1915",24,0,2
"1916",20,0,2
"1917",26,0,2
"1918",14,0,2
"1919",8,0,2
"192",12,91,1
"1920",10,0,2
"1921",16,0,2
"1922",22,0,2
"1923",18,0,2
"1924",16,0,2
"1925",18,0,2
"1926",18,0,2
"1927",26,0,2
"1928",28,0,2
"1929",8,0,2
"193",9,74,1
"1930",20,0,2
"1931",32,0,2
"1932",22,0,2
"1933",16,0,2
"1934",12,0,2
"1935",4,0,2
"1936",22,0,2
"1937",14,0,2
"1938",26,0,2
"1939",16,0,2
"194",10,73,1
"1940",28,0,2
"1941",6,0,2
"1942",18,0,2
"1943",8,0,2
"1944",26,0,2
"1945",24,0,2
"1946",16,0,2
"1947",12,0,2
"1948",24,0,2
"1949",22,0,2
"195",12,62,1
"1950",20,0,2
"1951",16,0,2
"1952",12,0,2
"1953",24,0,2
"1954",18,0,2
"1955",14,0,2
"1956",18,0,2
"1957",12,0,2
"1958",14,0,2
"1959",30,0,2
"196",12,49,1
"1960",18,0,2
"1961",18,0,2
"1962",18,0,2
"1963",22,0,2
"1964",18,0,2
"1965",28,0,2
"1966",22,0,2
"1967",18,0,2
"1968",14,0,2
"1969",12,0,2
"197",6,86,1
"1970",14,0,2
"1971",18,0,2
"1972",20,0,2
"1973",18,0,2
"1974",18,0,2
"1975",16,0,2
"1976",20,0,2
"1977",18,0,2
"1978",20,0,2
"1979",12,0,2
"198",6,81,1
"1980",20,0,2
"1981",14,0,2
"1982",12,0,2
"1983",14,0,2
"1984",6,0,2
"1985",16,0,2
"1986",30,0,2
"1987",26,0,2
"1988",28,0,2
"1989",16,0,2
"199",13,72,1
"1990",18,0,2
"1991",12,0,2
"1992",38,0,2
"1993",18,0,2
"1994",14,0,2
"1995",20,0,2
"1996",12,0,2
"1997",24,0,2
"1998",14,0,2
"1999",16,0,2
"2",12,82,1
"20",9,74,1
"200",11,86,1
"2000",18,0,2
"201",9,71,1
"202",6,69,1
"203",7,53,1
"204",14,60,1
"205",8,84,1
"206",10,61,1
"207",9,75,1
"208",7,99,1
"209",4,89,1
"21",9,102,1
"210",14,92,1
"211",7,79,1
"212",11,88,1
"213",11,77,1
"214",7,87,1
"215",15,77,1
"216",6,81,1
"217",6,69,1
"218",4,79,1
"219",11,95,1
"22",10,73,1
"220",8,77,1
"221",16,85,1
"222",13,106,1
"223",4,83,1
"224",7,73,1
"225",8,67,1
"226",7,77,1
"227",6,79,1
"228",8,77,1
"229",13,67,1
"23",11,76,1
"230",6,80,1
"231",10,67,1
"232",9,81,1
"233",5,67,1
"234",16,72,1
"235",8,94,1
"236",11,78,1
"237",9,80,1
"238",13,103,1
"239",7,77,1
"24",10,46,1
"240",11,70,1
"241",5,74,1
"242",11,75,1
"243",11,86,1
"244",7,79,1
"245",7,76,1
"246",7,89,1
"247",11,85,1
"248",4,83,1
"249",7,72,1
"25",8,49,1
"250",8,68,1
"251",14,67,1
"252",11,101,1
"253",9,64,1
"254",5,77,1
"255",9,65,1
"256",6,71,1
"257",11,77,1
"258",10,69,1
"259",9,81,1
"26",9,88,1
"260",8,77,1
"261",8,61,1
"262",11,52,1
"263",7,65,1
"264",9,85,1
"265",6,78,1
"266",12,63,1
"267",5,62,1
"268",5,76,1
"269",9,70,1
"27",13,73,1
"270",6,82,1
"271",13,64,1
"272",11,70,1
"273",11,62,1
"274",8,107,1
"275",11,85,1
"276",9,70,1
"277",14,73,1
"278",11,86,1
"279",13,72,1
"28",9,73,1
"280",9,60,1
"281",11,77,1
"282",11,81,1
"283",9,71,1
"284",6,54,1
"285",13,63,1
"286",4,73,1
"287",4,77,1
"288",4,78,1
"289",7,85,1
"29",7,94,1
"290",7,50,1
"291",11,71,1
"292",10,75,1
"293",14,75,1
"294",6,53,1
"295",11,90,1
"296",9,67,1
"297",7,61,1
"298",11,52,1
"299",11,98,1
"3",9,65,1
"30",8,89,1
"300",8,69,1
"301",8,67,1
"302",8,59,1
"303",7,62,1
"304",8,65,1
"305",10,79,1
"306",10,66,1
"307",12,73,1
"308",15,68,1
"309",9,91,1
"31",11,86,1
"310",12,81,1
"311",11,73,1
"312",10,72,1
"313",13,66,1
"314",10,87,1
"315",6,76,1
"316",9,84,1
"317",6,73,1
"318",7,83,1
"319",14,98,1
"32",7,71,1
"320",11,73,1
"321",7,73,1
"322",10,48,1
"323",15,81,1
"324",10,72,1
"325",17,66,1
"326",7,91,1
"327",12,87,1
"328",5,82,1
"329",12,58,1
"33",7,84,1
"330",9,79,1
"331",7,72,1
"332",10,58,1
"333",11,64,1
"334",14,78,1
"335",7,110,1
"336",16,57,1
"337",8,82,1
"338",8,100,1
"339",9,79,1
"34",7,70,1
"340",10,78,1
"341",9,107,1
"342",10,56,1
"343",15,95,1
"344",11,58,1
"345",14,84,1
"346",10,71,1
"347",15,67,1
"348",2,72,1
"349",14,67,1
"35",10,84,1
"350",4,77,1
"351",10,66,1
"352",10,65,1
"353",10,69,1
"354",9,53,1
"355",10,82,1
"356",11,86,1
"357",10,83,1
"358",11,79,1
"359",12,59,1
"36",10,54,1
"360",8,92,1
"361",8,70,1
"362",6,58,1
"363",18,64,1
"364",17,75,1
"365",11,62,1
"366",7,74,1
"367",12,105,1
"368",12,96,1
"369",10,88,1
"37",8,64,1
"370",9,55,1
"371",14,60,1
"372",9,68,1
"373",5,96,1
"374",9,74,1
"375",15,63,1
"376",6,89,1
"377",9,82,1
"378",4,69,1
"379",15,71,1
"38",3,80,1
"380",6,99,1
"381",8,76,1
"382",8,69,1
"383",10,58,1
"384",8,71,1
"385",9,66,1
"386",9,66,1
"387",9,68,1
"388",9,57,1
"389",9,80,1
"39",10,81,1
"390",5,72,1
"391",7,102,1
"392",10,108,1
"393",11,62,1
"394",7,91,1
"395",11,72,1
"396",10,82,1
"397",6,66,1
"398",7,62,1
"399",10,47,1
"4",9,73,1
"40",7,61,1
"400",2,82,1
"401",4,71,1
"402",12,94,1
"403",10,70,1
"404",11,75,1
"405",5,68,1
"406",9,62,1
"407",9,69,1
"408",7,77,1
"409",12,67,1
"41",7,94,1
"410",15,87,1
"411",6,78,1
"412",8,76,1
"413",11,66,1
"414",2,85,1
"415",9,72,1
"416",12,60,1
"417",11,85,1
"418",8,71,1
"419",13,67,1
"42",10,76,1
"420",4,74,1
"421",9,94,1
"422",9,77,1
"423",10,74,1
"424",13,59,1
"425",8,72,1
"426",8,63,1
"427",13,72,1
"428",11,87,1
"429",9,60,1
"43",14,70,1
"430",12,78,1
"431",5,71,1
"432",13,72,1
"433",7,54,1
"434",13,95,1
"435",8,55,1
"436",9,72,1
"437",3,85,1
"438",13,76,1
"439",8,77,1
"44",14,75,1
"440",13,65,1
"441",5,64,1
"442",13,77,1
"443",11,55,1
"444",14,79,1
"445",7,68,1
"446",11,81,1
"447",6,82,1
"448",3,82,1
"449",6,80,1
"45",12,97,1
"450",9,81,1
"451",10,42,1
"452",10,72,1
"453",9,71,1
"454",10,71,1
"455",9,60,1
"456",9,94,1
"457",11,70,1
"458",15,74,1
"459",10,86,1
"46",8,54,1
"460",11,76,1
"461",12,59,1
"462",9,65,1
"463",8,61,1
"464",9,80,1
"465",10,75,1
"466",13,68,1
"467",8,60,1
"468",8,78,1
"469",9,91,1
"47",6,51,1
"470",15,71,1
"471",9,105,1
"472",9,111,1
"473",9,94,1
"474",8,84,1
"475",11,72,1
"476",13,77,1
"477",11,57,1
"478",9,65,1
"479",14,88,1
"48",14,90,1
"480",10,95,1
"481",9,108,1
"482",18,85,1
"483",8,88,1
"484",8,96,1
"485",8,84,1
"486",10,63,1
"487",9,61,1
"488",13,66,1
"489",7,92,1
"49",17,78,1
"490",6,94,1
"491",12,74,1
"492",12,76,1
"493",9,54,1
"494",8,65,1
"495",5,95,1
