,a1,a1a1,a2,a2a2,a3,a3a3,a4a4,a5a5,a6a6,a7a7,a8a8,a9a9,b1b1,b2,b3,b4,b5,b5a1,b5b2,b5b5
119,11,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,13,0,0,9
1190,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
1194,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,18,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0,0
1200,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1209,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,11,0,0,0
1211,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1216,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1219,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,10,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,6,0,0,13
1220,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
