,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,s1,s2,s3,s4,s5,s6
1024,6,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
1025,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1026,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
1029,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
103,8,0,0,0,0,0,0,0,0,0,33,1,30,0,0,0
1030,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1032,2,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0
1033,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
1034,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1036,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1037,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,2,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0
1039,12,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
104,12,0,0,0,0,0,0,0,0,0,23,3,21,1,1,1
1040,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,2,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0
1043,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,4,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0
1045,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1046,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1048,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1049,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
105,10,0,0,0,0,0,0,0,0,0,25,0,21,0,0,0
1050,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1052,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0
1054,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1055,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
1056,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1058,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
106,6,0,0,0,0,0,0,0,0,0,34,3,27,1,0,0
1060,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
1061,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0
1064,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1065,2,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0
1066,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1067,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
1068,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0
1069,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
107,17,0,0,0,0,0,0,0,0,0,29,2,25,2,0,0
1070,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
1072,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0
1073,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
1074,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,12,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0
1078,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
1079,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
